finding_id,category,severity,status,file_line,title,first_seen,last_confirmed,resolved_date,notes
A06-001,A06,MEDIUM,fixed,".github/workflows/ci.yml:125","SonarCloud action pinned to @master (floating tag)",2026-06-21,2026-06-21,2026-06-21,Pinned to SHA ba3875ecf642b2129de2b589510c81a8b53dbf4e
A08-001,A08,MEDIUM,fixed,".github/workflows/release.yml:125","CI/CD uses SonarSource action from @master (floating tag)",2026-06-21,2026-06-21,2026-06-21,Same action as ci.yml; both pinned. release.yml also audited: no other floating tags
A09-001,A09,MEDIUM,fixed,"anvil/cli.py:162-166","logging.basicConfig set only in CLI not in API lifespan",2026-06-21,2026-06-21,2026-06-21,Centralized _setup_logging() called from both CLI and FastAPI lifespan
A09-002,A09,MEDIUM,open,"anvil/api/app.py:77 (x5)","Silent except: pass on startup failures",2026-06-21,2026-06-21,,License seeding, demo bootstrap, model warmup failures now logged (was: silently swallowed)
A05-005,A05,LOW,fixed,"anvil/api/app.py:198","StaticFiles mounted without explicit html=False",2026-06-21,2026-06-21,2026-06-21,StaticFiles mount now has html=False
A06-002,A06,LOW,fixed,"pyproject.toml:54","torch>=2.0 no upper bound on optional GPU dep",2026-06-21,2026-06-21,2026-06-21,Changed to torch>=2.0,<3
A03-001,A03,LOW,open,"anvil/services/content/local_versioned_content_store.py:214","User-controlled path in staging file construction",2026-06-21,2026-06-21,,Staging key is UUID; blob storage content-addressed
A03-002,A03,LOW,open,"anvil/storage/local.py:55","No path containment check after Path.resolve()",2026-06-21,2026-06-21,,Path from internal sources not directly from user
A09-003,A09,LOW,open,"anvil/cli.py:403","print() used in CLI training path",2026-06-21,2026-06-21,,Acceptable for CLI tool but should use logging
A09-004,A09,LOW,open,"anvil/services/inference/demo_model_provider.py:268","print() in warm-up path",2026-06-21,2026-06-21,,Should use logger.info
A02-001,A02,INFO,wontfix,"anvil/core/engine.py:448","random.choices() for LLM token sampling (non-security context)",2026-06-21,2026-06-21,,Intentionally uses random for model inference sampling
A10-001,A10,INFO,open,"anvil/config.py:155","MLflow URI user-configurable via env var; no outbound host allowlist",2026-06-21,2026-06-21,,Deliberate config option; acceptable for local-only
